Data,Numar someri,Timp
2000-01-01,874342,0
2000-04-01,769228,1
2000-07-01,721552,2
2000-10-01,736738,3
2001-01-01,806838,4
2001-04-01,718051,5
2001-07-01,634689,6
2001-10-01,685616,7
2002-01-01,988450,8
2002-04-01,824757,9
2002-07-01,777651,10
2002-10-01,790232,11
2003-01-01,778803,12
2003-04-01,699684,13
2003-07-01,637699,14
2003-10-01,650836,15
2004-01-01,838034,16
2004-04-01,771518,17
2004-07-01,768568,18
2004-10-01,793785,19
2005-01-01,838022,20
2005-04-01,711234,21
2005-07-01,597281,22
2005-10-01,655718,23
2006-01-01,755477,24
2006-04-01,691567,25
2006-07-01,728944,26
2006-10-01,699034,27
2007-01-01,705224,28
2007-04-01,651782,29
2007-07-01,599134,30
2007-10-01,581155,31
2008-01-01,592322,32
2008-04-01,543988,33
2008-07-01,513959,34
2008-10-01,547213,35
2009-01-01,622357,36
2009-04-01,582295,37
2009-07-01,631449,38
2009-10-01,660041,39
2010-01-01,711354,40
2010-04-01,628674,41
2010-07-01,629613,42
2010-10-01,637137,43
2011-01-01,668371,44
2011-04-01,641704,45
2011-07-01,650483,46
2011-10-01,677145,47
2012-01-01,662111,48
2012-04-01,620677,49
2012-07-01,616544,50
2012-10-01,609504,51
2013-01-01,655171,52
2013-04-01,677983,53
2013-07-01,630394,54
2013-10-01,648390,55
2014-01-01,656487,56
2014-04-01,624296,57
2014-07-01,615582,58
2014-10-01,618362,59
2015-01-01,654750,60
2015-04-01,625246,61
2015-07-01,613376,62
2015-10-01,602269,63
2016-01-01,584562,64
2016-04-01,530469,65
2016-07-01,519241,66
2016-10-01,485205,67
2017-01-01,480856,68
2017-04-01,451164,69
2017-07-01,440442,70
2017-10-01,424862,71
2018-01-01,413804,72
2018-04-01,379699,73
2018-07-01,356772,74
2018-10-01,368438,75
2019-01-01,363898,76
2019-04-01,344707,77
2019-07-01,350457,78
2019-10-01,354419,79
2020-01-01,382363,80
2020-04-01,482166,81
2020-07-01,472487,82
2020-10-01,470039,83
2021-01-01,496036,84
2021-04-01,418119,85
2021-07-01,436258,86
2021-10-01,486366,87
2022-01-01,494223,88
2022-04-01,439674,89
2022-07-01,445472,90
2022-10-01,478073,91
2023-01-01,471805,92
2023-04-01,437414,93
2023-07-01,437607,94
2023-10-01,475517,95
2024-01-01,443737,96
2024-04-01,421144,97
2024-07-01,460408,98
2024-10-01,478545,99
