Data,Numar someri,Timp,SES,Holt
2000-01-01,874342,0,874342.0,769228.0
2000-04-01,769228,1,874342.0,770466.6934085714
2000-07-01,721552,2,800004.4013953488,678252.1020058182
2000-10-01,736738,3,744522.1333387777,630934.1780421279
2001-01-01,806838,4,739017.1218310514,652686.7022633137
2001-04-01,718051,5,786980.6777640218,737602.0204681808
2001-07-01,634689,6,738232.9684430008,667523.213664628
2001-10-01,685616,7,665005.7107604042,581372.3033949379
2002-01-01,988450,8,679581.4990342672,629493.823220848
2002-04-01,824757,9,898016.1761125913,949364.948092686
2002-07-01,777651,10,846206.6052850587,828303.862720101
2002-10-01,790232,11,797723.4435009044,765291.9784336023
2003-01-01,778803,12,792425.4249692182,771943.8127821344
2003-04-01,699684,13,782791.5193107547,763659.7031965207
2003-07-01,637699,14,724017.1085609861,684629.4953751898
2003-10-01,650836,15,662972.1392275073,614231.5809019743
2004-01-01,838034,16,654389.3486714957,622034.191260365
2004-04-01,771518,17,784264.5544133518,816274.7090671126
2004-07-01,768568,18,775250.0725596303,775768.4025792755
2004-10-01,793785,19,770524.4486866452,767234.8695783495
2005-01-01,838022,20,786974.5269526712,791880.1230126789
2005-04-01,711234,21,823075.7747519565,839922.7452405794
2005-07-01,597281,22,743980.2312587705,717287.0994711795
2005-10-01,655718,23,640233.1702685563,586109.5817494257
2006-01-01,755477,24,651184.185899561,630623.2607317509
2006-04-01,691567,25,724941.034197104,740405.4642528553
2006-07-01,728944,26,701338.60675678,691259.1115177806
2006-10-01,699034,27,720861.3976527409,723080.0468311296
2007-01-01,705224,28,705424.858987163,697516.5390727879
2007-04-01,651782,29,705282.8096429857,700843.1373838043
2007-07-01,599134,30,667446.539381516,647769.903551606
2007-10-01,581155,31,619135.2760654252,588521.2530038855
2008-01-01,592322,32,592275.2715270629,564480.1788232181
2008-04-01,543988,33,592308.3183378074,575070.2780011512
2008-07-01,513959,34,558135.7397179767,529790.5621582535
2008-10-01,547213,35,526893.5384430075,495756.31863776443
2009-01-01,622357,36,541263.6506743596,527671.6783791176
2009-04-01,582295,37,598613.6216741904,610253.2981151219
2009-07-01,631449,38,587072.9406250711,581494.5976268994
2009-10-01,660041,39,618456.1026155732,627802.3979515783
2010-01-01,711354,40,647865.3288820946,662911.5619978412
2010-04-01,628674,41,692765.1076889667,718756.1640653327
2010-07-01,629613,42,647439.2801349788,640966.1096322051
2010-10-01,637137,43,634832.36899766,630704.0840450985
2011-01-01,668371,44,636462.2254809428,636909.0807527304
2011-04-01,641704,45,659028.4076466295,669304.1666727194
2011-07-01,650483,46,646776.4254016527,646177.2399304078
2011-10-01,677145,47,649397.7494373677,651616.1026174938
2012-01-01,662111,48,669020.86314922,679107.9358181985
2012-04-01,620677,49,664134.1436522949,667010.0464629574
2012-07-01,616544,50,633400.8474088928,622941.8496334745
2012-10-01,609504,51,621479.528113441,613041.1098371303
2013-01-01,655171,52,613010.323231354,605173.4059978084
2013-04-01,677983,53,642826.7460344825,650995.0327219955
2013-07-01,630394,54,667689.5758738171,680267.628188088
2013-10-01,648390,55,641313.7976802641,635406.5676552093
2014-01-01,656487,56,646318.1537859192,647428.2366684043
2014-04-01,624296,57,653509.6564224354,657227.095126082
2014-07-01,615582,58,632849.4868455457,625760.9594729708
2014-10-01,618362,59,620637.7595205911,612881.1874479199
2015-01-01,654750,60,619028.321217773,614475.2170308722
2015-04-01,625246,61,644291.0247472503,652011.1835511454
2015-07-01,613376,62,630822.206082974,627139.8197457619
2015-10-01,602269,63,618484.0868508057,611819.3289822174
2016-01-01,584562,64,607016.6265918987,598908.8016080604
2016-04-01,530469,65,591136.5057858606,579859.4086667239
2016-07-01,519241,66,548231.881345209,523421.77092474524
2016-10-01,485205,67,527729.26037526,506076.5390323217
2017-01-01,480856,68,497655.707863361,471280.94528231357
2017-04-01,451164,69,485774.7981860399,464480.5628102943
2017-07-01,440442,70,461297.7197479591,435808.0004947213
2017-10-01,424862,71,446548.3607355071,423504.57400934095
2018-01-01,413804,72,431211.56468976825,408509.89024427085
2018-04-01,379699,73,418900.77301032987,397681.0470250875
2018-07-01,356772,74,391176.9144697687,364014.5606437772
2018-10-01,368438,75,366845.4389110323,338792.98931962287
2019-01-01,363898,76,367971.71292767196,349918.5342878194
2019-04-01,344707,77,365090.7452502184,349185.37361806544
2019-07-01,350457,78,350675.170993029,331659.07639988273
2019-10-01,354419,79,350520.8784372613,337080.3963150595
2020-01-01,382363,80,353277.666268026,343556.1785599268
2020-04-01,482166,81,373847.08484452206,374087.6605413041
2020-07-01,472487,82,450451.22926029144,479931.9817785056
2020-10-01,470039,83,466035.1313113272,483443.4439767299
2021-01-01,496036,84,468866.70449324674,479922.8129891362
2021-04-01,418119,85,488081.08301325527,504462.8637000703
2021-07-01,436258,86,438603.2470962066,427507.9830590309
2021-10-01,486366,87,436944.6665335172,435142.1353612309
2022-01-01,494223,88,471895.89329434844,486928.7740988431
2022-04-01,439674,89,487685.8308506011,501164.9489965471
2022-07-01,445472,90,453731.41745137365,446787.4698382999
2022-10-01,478073,91,447890.280597972,445015.3656605868
2023-01-01,471805,92,469235.780528569,477844.3114028325
2023-04-01,437414,93,471052.75643848104,475566.50893630047
2023-07-01,437607,94,447263.11496652267,439983.9363265018
2023-10-01,475517,95,440434.2206378726,435461.6175889601
2024-01-01,443737,96,465245.088554205,473551.6180538594
2024-04-01,421144,97,450034.36825342884,446341.363915321
2024-07-01,460408,98,429602.8310769923,419788.4921902219
2024-10-01,478545,99,451388.53309905424,456435.487937658
