Grupe de varsta , Sexe, Perioade, UM: Numar persoane, Valoare
Total, Total, Trimestrul I 2000, Numar persoane, 874342
Total, Total, Trimestrul II 2000, Numar persoane, 769228
Total, Total, Trimestrul III 2000, Numar persoane, 721552
Total, Total, Trimestrul IV 2000, Numar persoane, 736738
Total, Total, Trimestrul I 2001, Numar persoane, 806838
Total, Total, Trimestrul II 2001, Numar persoane, 718051
Total, Total, Trimestrul III 2001, Numar persoane, 634689
Total, Total, Trimestrul IV 2001, Numar persoane, 685616
Total, Total, Trimestrul I 2002, Numar persoane, 988450
Total, Total, Trimestrul II 2002, Numar persoane, 824757
Total, Total, Trimestrul III 2002, Numar persoane, 777651
Total, Total, Trimestrul IV 2002, Numar persoane, 790232
Total, Total, Trimestrul I 2003, Numar persoane, 778803
Total, Total, Trimestrul II 2003, Numar persoane, 699684
Total, Total, Trimestrul III 2003, Numar persoane, 637699
Total, Total, Trimestrul IV 2003, Numar persoane, 650836
Total, Total, Trimestrul I 2004, Numar persoane, 838034
Total, Total, Trimestrul II 2004, Numar persoane, 771518
Total, Total, Trimestrul III 2004, Numar persoane, 768568
Total, Total, Trimestrul IV 2004, Numar persoane, 793785
Total, Total, Trimestrul I 2005, Numar persoane, 838022
Total, Total, Trimestrul II 2005, Numar persoane, 711234
Total, Total, Trimestrul III 2005, Numar persoane, 597281
Total, Total, Trimestrul IV 2005, Numar persoane, 655718
Total, Total, Trimestrul I 2006, Numar persoane, 755477
Total, Total, Trimestrul II 2006, Numar persoane, 691567
Total, Total, Trimestrul III 2006, Numar persoane, 728944
Total, Total, Trimestrul IV 2006, Numar persoane, 699034
Total, Total, Trimestrul I 2007, Numar persoane, 705224
Total, Total, Trimestrul II 2007, Numar persoane, 651782
Total, Total, Trimestrul III 2007, Numar persoane, 599134
Total, Total, Trimestrul IV 2007, Numar persoane, 581155
Total, Total, Trimestrul I 2008, Numar persoane, 592322
Total, Total, Trimestrul II 2008, Numar persoane, 543988
Total, Total, Trimestrul III 2008, Numar persoane, 513959
Total, Total, Trimestrul IV 2008, Numar persoane, 547213
Total, Total, Trimestrul I 2009, Numar persoane, 622357
Total, Total, Trimestrul II 2009, Numar persoane, 582295
Total, Total, Trimestrul III 2009, Numar persoane, 631449
Total, Total, Trimestrul IV 2009, Numar persoane, 660041
Total, Total, Trimestrul I 2010, Numar persoane, 711354
Total, Total, Trimestrul II 2010, Numar persoane, 628674
Total, Total, Trimestrul III 2010, Numar persoane, 629613
Total, Total, Trimestrul IV 2010, Numar persoane, 637137
Total, Total, Trimestrul I 2011, Numar persoane, 668371
Total, Total, Trimestrul II 2011, Numar persoane, 641704
Total, Total, Trimestrul III 2011, Numar persoane, 650483
Total, Total, Trimestrul IV 2011, Numar persoane, 677145
Total, Total, Trimestrul I 2012, Numar persoane, 662111
Total, Total, Trimestrul II 2012, Numar persoane, 620677
Total, Total, Trimestrul III 2012, Numar persoane, 616544
Total, Total, Trimestrul IV 2012, Numar persoane, 609504
Total, Total, Trimestrul I 2013, Numar persoane, 655171
Total, Total, Trimestrul II 2013, Numar persoane, 677983
Total, Total, Trimestrul III 2013, Numar persoane, 630394
Total, Total, Trimestrul IV 2013, Numar persoane, 648390
Total, Total, Trimestrul I 2014, Numar persoane, 656487
Total, Total, Trimestrul II 2014, Numar persoane, 624296
Total, Total, Trimestrul III 2014, Numar persoane, 615582
Total, Total, Trimestrul IV 2014, Numar persoane, 618362
Total, Total, Trimestrul I 2015, Numar persoane, 654750
Total, Total, Trimestrul II 2015, Numar persoane, 625246
Total, Total, Trimestrul III 2015, Numar persoane, 613376
Total, Total, Trimestrul IV 2015, Numar persoane, 602269
Total, Total, Trimestrul I 2016, Numar persoane, 584562
Total, Total, Trimestrul II 2016, Numar persoane, 530469
Total, Total, Trimestrul III 2016, Numar persoane, 519241
Total, Total, Trimestrul IV 2016, Numar persoane, 485205
Total, Total, Trimestrul I 2017, Numar persoane, 480856
Total, Total, Trimestrul II 2017, Numar persoane, 451164
Total, Total, Trimestrul III 2017, Numar persoane, 440442
Total, Total, Trimestrul IV 2017, Numar persoane, 424862
Total, Total, Trimestrul I 2018, Numar persoane, 413804
Total, Total, Trimestrul II 2018, Numar persoane, 379699
Total, Total, Trimestrul III 2018, Numar persoane, 356772
Total, Total, Trimestrul IV 2018, Numar persoane, 368438
Total, Total, Trimestrul I 2019, Numar persoane, 363898
Total, Total, Trimestrul II 2019, Numar persoane, 344707
Total, Total, Trimestrul III 2019, Numar persoane, 350457
