Categorii de resurse si utilizari, Trimestre, UM: Procente, Valoare
Total valoare adaugata bruta, Trimestrul I 2000, Procente, 102.1
Total valoare adaugata bruta, Trimestrul II 2000, Procente, 104.3
Total valoare adaugata bruta, Trimestrul III 2000, Procente, 102.6
Total valoare adaugata bruta, Trimestrul IV 2000, Procente, 102.2
Total valoare adaugata bruta, Trimestrul I 2001, Procente, 103.3
Total valoare adaugata bruta, Trimestrul II 2001, Procente, 104.3
Total valoare adaugata bruta, Trimestrul III 2001, Procente, 107.5
Total valoare adaugata bruta, Trimestrul IV 2001, Procente, 106.6
Total valoare adaugata bruta, Trimestrul I 2002, Procente, 104.6
Total valoare adaugata bruta, Trimestrul II 2002, Procente, 105.5
Total valoare adaugata bruta, Trimestrul III 2002, Procente, 104.6
Total valoare adaugata bruta, Trimestrul IV 2002, Procente, 105.3
Total valoare adaugata bruta, Trimestrul I 2003, Procente, 99.8
Total valoare adaugata bruta, Trimestrul II 2003, Procente, 101.7
Total valoare adaugata bruta, Trimestrul III 2003, Procente, 103.8
Total valoare adaugata bruta, Trimestrul IV 2003, Procente, 102.7
Total valoare adaugata bruta, Trimestrul I 2004, Procente, 109.5
Total valoare adaugata bruta, Trimestrul II 2004, Procente, 108.8
Total valoare adaugata bruta, Trimestrul III 2004, Procente, 111.5
Total valoare adaugata bruta, Trimestrul IV 2004, Procente, 111.7
Total valoare adaugata bruta, Trimestrul I 2005, Procente, 106.6
Total valoare adaugata bruta, Trimestrul II 2005, Procente, 104.9
Total valoare adaugata bruta, Trimestrul III 2005, Procente, 102.2
Total valoare adaugata bruta, Trimestrul IV 2005, Procente, 103.6
Total valoare adaugata bruta, Trimestrul I 2006, Procente, 107.9
Total valoare adaugata bruta, Trimestrul II 2006, Procente, 108.5
Total valoare adaugata bruta, Trimestrul III 2006, Procente, 109
Total valoare adaugata bruta, Trimestrul IV 2006, Procente, 108.3
Total valoare adaugata bruta, Trimestrul I 2007, Procente, 108.4
Total valoare adaugata bruta, Trimestrul II 2007, Procente, 107.5
Total valoare adaugata bruta, Trimestrul III 2007, Procente, 105.6
Total valoare adaugata bruta, Trimestrul IV 2007, Procente, 107.1
Total valoare adaugata bruta, Trimestrul I 2008, Procente, 110.2
Total valoare adaugata bruta, Trimestrul II 2008, Procente, 111.7
Total valoare adaugata bruta, Trimestrul III 2008, Procente, 111.5
Total valoare adaugata bruta, Trimestrul IV 2008, Procente, 105.8
Total valoare adaugata bruta, Trimestrul I 2009, Procente, 96
Total valoare adaugata bruta, Trimestrul II 2009, Procente, 93.1
Total valoare adaugata bruta, Trimestrul III 2009, Procente, 96.3
Total valoare adaugata bruta, Trimestrul IV 2009, Procente, 96.5
Total valoare adaugata bruta, Trimestrul I 2010, Procente, 97.7
Total valoare adaugata bruta, Trimestrul II 2010, Procente, 97.2
Total valoare adaugata bruta, Trimestrul III 2010, Procente, 92.6
Total valoare adaugata bruta, Trimestrul IV 2010, Procente, 93.3
Total valoare adaugata bruta, Trimestrul I 2011, Procente, 103.3
Total valoare adaugata bruta, Trimestrul II 2011, Procente, 103.8
Total valoare adaugata bruta, Trimestrul III 2011, Procente, 106.3
Total valoare adaugata bruta, Trimestrul IV 2011, Procente, 103.5
Total valoare adaugata bruta, Trimestrul I 2012, Procente, 102
Total valoare adaugata bruta, Trimestrul II 2012, Procente, 103.8
Total valoare adaugata bruta, Trimestrul III 2012, Procente, 100.4
Total valoare adaugata bruta, Trimestrul IV 2012, Procente, 102.1
Total valoare adaugata bruta, Trimestrul I 2013, Procente, 98.4
Total valoare adaugata bruta, Trimestrul II 2013, Procente, 97.9
Total valoare adaugata bruta, Trimestrul III 2013, Procente, 102.2
Total valoare adaugata bruta, Trimestrul IV 2013, Procente, 102
Total valoare adaugata bruta, Trimestrul I 2014, Procente, 104.4
Total valoare adaugata bruta, Trimestrul II 2014, Procente, 102.8
Total valoare adaugata bruta, Trimestrul III 2014, Procente, 104.8
Total valoare adaugata bruta, Trimestrul IV 2014, Procente, 104.5
Total valoare adaugata bruta, Trimestrul I 2015, Procente, 102.7
Total valoare adaugata bruta, Trimestrul II 2015, Procente, 102.2
Total valoare adaugata bruta, Trimestrul III 2015, Procente, 102.7
Total valoare adaugata bruta, Trimestrul IV 2015, Procente, 103
Total valoare adaugata bruta, Trimestrul I 2016, Procente, 102.7
Total valoare adaugata bruta, Trimestrul II 2016, Procente, 104.1
Total valoare adaugata bruta, Trimestrul III 2016, Procente, 102.3
Total valoare adaugata bruta, Trimestrul IV 2016, Procente, 102.4
Total valoare adaugata bruta, Trimestrul I 2017, Procente, 107.2
Total valoare adaugata bruta, Trimestrul II 2017, Procente, 107.7
Total valoare adaugata bruta, Trimestrul III 2017, Procente, 110.3
Total valoare adaugata bruta, Trimestrul IV 2017, Procente, 107.9
Total valoare adaugata bruta, Trimestrul I 2018, Procente, 105.4
Total valoare adaugata bruta, Trimestrul II 2018, Procente, 106.8
Total valoare adaugata bruta, Trimestrul III 2018, Procente, 105.7
Total valoare adaugata bruta, Trimestrul IV 2018, Procente, 105.1
Total valoare adaugata bruta, Trimestrul I 2019, Procente, 104.3
Total valoare adaugata bruta, Trimestrul II 2019, Procente, 103.8
Total valoare adaugata bruta, Trimestrul III 2019, Procente, 102.7
Total valoare adaugata bruta, Trimestrul IV 2019, Procente, 104.4
Total valoare adaugata bruta, Trimestrul I 2020, Procente, 102.3
Total valoare adaugata bruta, Trimestrul II 2020, Procente, 90.4
Total valoare adaugata bruta, Trimestrul III 2020, Procente, 95.2
Total valoare adaugata bruta, Trimestrul IV 2020, Procente, 98.7
Total valoare adaugata bruta, Trimestrul I 2021, Procente, 100.4
Total valoare adaugata bruta, Trimestrul II 2021, Procente, 113.5
Total valoare adaugata bruta, Trimestrul III 2021, Procente, 106
Total valoare adaugata bruta, Trimestrul IV 2021, Procente, 101.8
Total valoare adaugata bruta, Trimestrul I 2022, Procente, 104.6
Total valoare adaugata bruta, Trimestrul II 2022, Procente, 103.8
Total valoare adaugata bruta, Trimestrul III 2022, Procente, 102
Total valoare adaugata bruta, Trimestrul IV 2022, Procente, 102.6
Total valoare adaugata bruta, Trimestrul I 2023, Procente, 102.5
Total valoare adaugata bruta, Trimestrul II 2023, Procente, 101
Total valoare adaugata bruta, Trimestrul III 2023, Procente, 102
Total valoare adaugata bruta, Trimestrul IV 2023, Procente, 102.8
Total valoare adaugata bruta, Trimestrul I 2024, Procente, 99.9
Total valoare adaugata bruta, Trimestrul II 2024, Procente, 100.7
Total valoare adaugata bruta, Trimestrul III 2024, Procente, 100
Total valoare adaugata bruta, Trimestrul IV 2024, Procente, 99.8
